string                                                                                                                                                                                  count
COFORMYCIN                                                                                                                                                                              1    
ISOPROPANE                                                                                                                                                                              1    
P200 PARATONE-N                                                                                                                                                                         1    
EVERY OTHER                                                                                                                                                                             1    
SODIUM POTASSIUM L--TARTRATE                                                                                                                                                            1    
TRIS BGA OLIGOSACCHARIDE                                                                                                                                                                1    
DTT 0.5 UL BIPHASIC                                                                                                                                                                     1    
BICINE PARAFFIN:PARATONE                                                                                                                                                                1    
AR                                                                                                                                                                                      1    
XANTHOPTERIN                                                                                                                                                                            1    
HEXANEDIOL  II                                                                                                                                                                          1    
74 SMILES CODE NC1CC( CNC1O)C(F)(F)F                                                                                                                                                    1    
4-(4-METHYLPIPERAZIN-1-YL)-N-(2-OXO-5-(PYRIDIN-4-YL)-1                                                                                                                                  1    
TRANS-ACONITATE                                                                                                                                                                         1    
PROTEIN ID XP819                                                                                                                                                                        1    
BSI108214,293949-G10                                                                                                                                                                    1    
TRISODIUM CITRATE HEGA-8  ADITIVE                                                                                                                                                       1    
2-MERCAPTOEHANOL                                                                                                                                                                        1    
PCB PH                                                                                                                                                                                  1    
ADA (N-(2-ACETAMIDO)IMINODIACETIC ACID                                                                                                                                                  1    
PEG MME 335                                                                                                                                                                             1    
NAD 0.01 M                                                                                                                                                                              1    
CD27                                                                                                                                                                                    1    
H-89 METHANOL                                                                                                                                                                           1    
2-METHYL-2,4-PENTADIOL                                                                                                                                                                  1    
TRIS CHLORIDE 0.2 UL                                                                                                                                                                    1    
NAFOA.19900..B11.PW39443                                                                                                                                                                1    
SODIUM ACETATE DIOXANE 1                                                                                                                                                                1    
PEG MME 550,100-MMOL-1 MES                                                                                                                                                              1    
3'-PHOSPHOGUANOSINE 5' PHOSPHATE                                                                                                                                                        1    
LARC                                                                                                                                                                                    1    
SODIUM CHLORIDE 0.17 UL                                                                                                                                                                 1    
MANGANESE CHLORIDE 28                                                                                                                                                                   1    
SODIUM PHOSPHATE/AMMONIUM SULFATE                                                                                                                                                       1    
TRIS CHLORIDE CLSSICS II F8                                                                                                                                                             1    
EBSI1799                                                                                                                                                                                1    
GALC                                                                                                                                                                                    1    
SAPA 800 NL                                                                                                                                                                             1    
206 SMILES CODE NCC1CC C(O1)C(F)(F)F                                                                                                                                                    1    
202 SMILES CODE COC1C(C CCN1)C(O)O                                                                                                                                                      1    
NK4 SULFATE                                                                                                                                                                             1    
CO(III) HEXAMINE CHLORIDE                                                                                                                                                               1    
TRIS 125                                                                                                                                                                                1    
CITRATE TRIBASIC                                                                                                                                                                        1    
1-S-NONYL--D-THIOGLUCOSIDE                                                                                                                                                              1    
AMMONIUM CITRATE MBIS TRIS PROPANE                                                                                                                                                      1    
BOBUA.01478..A1 PS00305                                                                                                                                                                 1    
PPPGPP                                                                                                                                                                                  1    
CMPD-15PA                                                                                                                                                                               1    
1-NUTANOL                                                                                                                                                                               1    
TERBIUM CHLORIDE                                                                                                                                                                        1    
5 BES                                                                                                                                                                                   1    
DI-AMMONUIUM TARTRATE                                                                                                                                                                   1    
YTTRIUM CHLORIDE,-BACTCH                                                                                                                                                                1    
POLYETHYLE MONOMETYL ETHER                                                                                                                                                              1    
222 SMILES CODE OC(NC1 CCCC2C1CCCN2)C1CCCNC1                                                                                                                                            1    
218 SMILES CODE CCOC1C2C CCCCC2NC(NC(N)N)N1                                                                                                                                             1    
TRIS CONSISTING                                                                                                                                                                         1    
PEG 8000 AUTOCLAVED                                                                                                                                                                     1    
HEPES PD                                                                                                                                                                                1    
PK7204                                                                                                                                                                                  1    
NADP  VISIBLE                                                                                                                                                                           1    
NBSD-256                                                                                                                                                                                1    
N-NONYL-BETA-THIOMALTOSIDE                                                                                                                                                              1    
CHEMTRYPSIN                                                                                                                                                                             1    
4-BROMOPHENOL                                                                                                                                                                           1    
HMESH1 D66K                                                                                                                                                                             1    
SMEARPEG 400                                                                                                                                                                            1    
SMEARPEG 6000                                                                                                                                                                           1    
PEG 20000  E9                                                                                                                                                                           1    
ETHYLENE GLYCOL: KSJ9-7                                                                                                                                                                 1    
CALCIUM II SD-2 PROTEIN 250NL 225 NL 25 NL                                                                                                                                              1    
UDP-FDG                                                                                                                                                                                 1    
SYTEM 1                                                                                                                                                                                 1    
JEFFAMINE M89                                                                                                                                                                           1    
ISOMALTOTRIOSE                                                                                                                                                                          1    
MONOSSACHARIDE D-GLUCOSE                                                                                                                                                                1    
AMINOPYRAZOLE RIBONUCLEOTIDE                                                                                                                                                            1    
ID 205856B5                                                                                                                                                                             1    
PEG 3350/GLYCEROL                                                                                                                                                                       1    
POLY PEG 03-8 KD                                                                                                                                                                        1    
IMIDAZOLE/MOPS                                                                                                                                                                          1    
1,5-IP8                                                                                                                                                                                 1    
TYROSINE 0.2 UL                                                                                                                                                                         1    
5PA-INSP5                                                                                                                                                                               1    
2-O-BN-5-PA-INSP4                                                                                                                                                                       1    
NAHCO2                                                                                                                                                                                  1    
INDEGLITAZAR PROTEIN/                                                                                                                                                                   1    
2-(BIS-(2-HYDROXY-ETHYL)-AMINO)-2-HYDROXYMETHYL-PROPANE-1,3-DIOL (BIS TRIS                                                                                                              1    
TRIS CHLORIDE 100 MM                                                                                                                                                                    1    
BIS TRIS 0.2M                                                                                                                                                                           1    
BIS TRIS MAGNESIUM ACETATE                                                                                                                                                              1    
BUCEA.18021..A1.PD00490 SE-MET                                                                                                                                                          1    
PEG 8000/ETHYLENE GLYCEROL                                                                                                                                                              1    
AMMONIUM SULFATE 0.2 SODIUM FORMATE                                                                                                                                                     1    
MOPS/HEPES BSI4723                                                                                                                                                                      1    
IMP-0001088                                                                                                                                                                             1    
HDG0-9                                                                                                                                                                                  1    
ETODOLAC                                                                                                                                                                                1    
BME 0.2 UL MCSG I                                                                                                                                                                       1    
IMP-0001114                                                                                                                                                                             1    
HDG0-1                                                                                                                                                                                  1    
3-(4,5,6,7-TETRABROMO-1H-BENZOTRIAZOL-1-YL)PROPAN-1-OL                                                                                                                                  1    
EDO-PEG 8000                                                                                                                                                                            1    
SODIUM ACETATEPH                                                                                                                                                                        1    
DEOXY-CCC                                                                                                                                                                               1    
PEG 500 DIMETHYLETHER                                                                                                                                                                   1    
LANRFP                                                                                                                                                                                  1    
SODIUM CITRATE HYDROGEN PHOSPHATE                                                                                                                                                       1    
CITRATE PHOSPHATE ID 216661C1-1 MNAI                                                                                                                                                    1    
GASTRIC JUICE                                                                                                                                                                           1    
POTASSIUM PHOSPHATE DIBASIC/ SODIUM PHOSPHATE MONOBASIC                                                                                                                                 1    
ATP-GAMMA-S                                                                                                                                                                             1    
ELANA.18181..B1.PW3826 MCSG1E7                                                                                                                                                          1    
UMPNPP                                                                                                                                                                                  1    
DECYL BETA-D-MALTOSIDE                                                                                                                                                                  1    
PR-ATP                                                                                                                                                                                  1    
OLIVETOLIC ACID                                                                                                                                                                         1    
ZINC CHLORIDE 0.2 UL TOP96                                                                                                                                                              1    
63 SMILES CODE CNCC1CC C(OC2CCCNC2)O1                                                                                                                                                   1    
MCSG3A1                                                                                                                                                                                 1    
P218 MCSG1                                                                                                                                                                              1    
METHYLENETETRAHYDROFOLATE                                                                                                                                                               1    
CARBOCYCLIC PHOSPHORIBOSYLPYROPHOSPHATE                                                                                                                                                 1    
BS-CSPB.RU6                                                                                                                                                                             1    
BS-CSPB.RGUCUUUA                                                                                                                                                                        1    
SODIUM TUNGSTENATE                                                                                                                                                                      1    
PEG 1500,200-NL 200NL                                                                                                                                                                   1    
BIS TRIS WOULD NUCLEATE                                                                                                                                                                 1    
SUCCINATE PHOSPHATE GLYCINE SUCROSE PHOSPHATE-GLUTAMATE                                                                                                                                 1    
2,2'-(2-(2-((2S,3S,4R,5R)-5-(2,4-DIOXO-3,4-DIHYDROPYRIMIDIN-1(2H)-YL)-3,4-DIHYDROXYTETRAHYDROFURAN-2-CARBOXAMIDO)ETHYLAMINO)-2-OXOETHYLAZANEDIYL) DIACETIC ACID                         1    
MYTHA.01241..A1 PS00652                                                                                                                                                                 1    
GLYCEROL24                                                                                                                                                                              1    
SINAPYL ALCOHOL                                                                                                                                                                         1    
METHYL-ALPHA-D-GALACTOPYLANOSIDE                                                                                                                                                        1    
ALCOHOL: 1,6-HEXANEDIOL 1-BUTANOL (RS)-1,2-PROPANEDIOL ISOPROPANOL 1,4-BUTANEDIOL 1,3-PROPANEDIOL                                                                                       1    
TRIDECYLMALTOSIDE                                                                                                                                                                       1    
BM TUBR                                                                                                                                                                                 1    
TUBC-24                                                                                                                                                                                 1    
MAGNESIUM CHLORIDE/ CA CHLORIDE                                                                                                                                                         1    
PEG MME 550PEG 20000                                                                                                                                                                    1    
ETHYLENE GLYCOLPROTEIN 27                                                                                                                                                               1    
METHYL-ALPHA-MANNOSE                                                                                                                                                                    1    
B 1 MILLI                                                                                                                                                                               1    
SODIUM CHLORIDE-MCSG3 #6)                                                                                                                                                               1    
TUBC-26                                                                                                                                                                                 1    
0.5UL                                                                                                                                                                                   1    
B: TRIS ACETATE                                                                                                                                                                         1    
SODIUM AZIDE 0.3M                                                                                                                                                                       1    
BICINE-NA                                                                                                                                                                               1    
MOPS/HEPES ID 254835H6                                                                                                                                                                  1    
ATP-GAMMAS                                                                                                                                                                              1    
CORDYCEPIN3'-DEOXY-ATP                                                                                                                                                                  1    
MYSMA.00681..A1 PS00596                                                                                                                                                                 1    
SODIUM POTASSIUM PHOSPHATE S                                                                                                                                                            1    
NADP G6                                                                                                                                                                                 1    
MES MOPS                                                                                                                                                                                1    
SODIU ACYTATE                                                                                                                                                                           1    
BIS-(2-HYDROXYETHYL)IMINO-TRISHYDROXYMETHYL METHANE                                                                                                                                     1    
CREATED                                                                                                                                                                                 1    
2.5 HEXANEDIOL                                                                                                                                                                          1    
SLRP                                                                                                                                                                                    1    
TRX1                                                                                                                                                                                    1    
AZYMETRIC VARIANT 2                                                                                                                                                                     1    
AZYMETRIC VARIANT                                                                                                                                                                       1    
RIFEA.00170..B1.PS01660                                                                                                                                                                 1    
BIS TRIS PROPANE GENERATED                                                                                                                                                              1    
PEG 8000,100-SODIUM CACODYLATE                                                                                                                                                          1    
4-NITRO-PHENOLBUTYRATE                                                                                                                                                                  1    
MPD,0                                                                                                                                                                                   1    
MAGNESIUM ACETATE TERAHYDRATE                                                                                                                                                           1    
TERT-BUTANO                                                                                                                                                                             1    
PROTEIN 1 UL                                                                                                                                                                            1    
LISO2                                                                                                                                                                                   1    
HPDO3A-YB                                                                                                                                                                               1    
CO-METHOTREXATE                                                                                                                                                                         1    
JEFFAMINE ED-2001 MTX                                                                                                                                                                   1    
QUICK X MICROPLATE                                                                                                                                                                      1    
SODIUM PHOSPHATE / SODIUM PHOSPHATE                                                                                                                                                     1    
PEG MME PEG 5000                                                                                                                                                                        1    
3-METHOXY-4-HYDROXY-5-NITROBENZOIC ACID                                                                                                                                                 1    
TRIS (2CARBOXYETHYL)PHOSPHINE HYDROCHLORIDE                                                                                                                                             1    
RK2-17-01                                                                                                                                                                               1    
YL1-038-18                                                                                                                                                                              1    
ISOPROPANOLOL                                                                                                                                                                           1    
R5P                                                                                                                                                                                     1    
YL1-038-21                                                                                                                                                                              1    
N-OCTY-B-D-GLUCOPYRANOSIDE                                                                                                                                                              1    
1.5UL                                                                                                                                                                                   1    
SODIUM ACETATE,SODIUM CHLORIDE                                                                                                                                                          1    
PHOSPHOGLYCOLOHYDROXAMATE                                                                                                                                                               1    
MAGNESIUM ACETATE PEG 3350                                                                                                                                                              1    
2-SUCCINYLBENZOATE                                                                                                                                                                      1    
196 SMILES CODE CC1 NCCN1CCNC(O)NC1CCC(F)CC1                                                                                                                                            1    
195 SMILES CODE OC(O) C1CCN(CC1)C(O)C1CCC1                                                                                                                                              1    
SODIUM TRISBR                                                                                                                                                                           1    
192 SMILES CODE CC1CCN C2CC(CCC2N1)C(O)NC1NCCS1                                                                                                                                         1    
190 SMILES CODE CCN[CAT H] 1CCS(O)(O)C1                                                                                                                                                 1    
189 SMILES CODE NCCC1CN CCC1                                                                                                                                                            1    
ADK ANCESTOR 1                                                                                                                                                                          1    
BME,-C4 28                                                                                                                                                                              1    
BME,:ENZ S                                                                                                                                                                              1    
BME PROTEIN                                                                                                                                                                             1    
213 SMILES CODE CCC[CAT ] 1(O)C2CCCCC2C2C1CCCN2                                                                                                                                         1    
DISODIUM TUNGSTATE                                                                                                                                                                      1    
211 SMILES CODE COC(O)C1 CCC(CN)CC1                                                                                                                                                     1    
210 SMILES CODE CC1CC(O) C2C3C(CNN3)CCC2N1                                                                                                                                              1    
209 SMILES CODE CC1 CC(NCC2CCCNC2)NO1                                                                                                                                                   1    
208 SMILES CODE O[CAT H] 1CCCC[CAT H]1S(O)(O)CC1CCCCC1                                                                                                                                  1    
207 SMILES CODE OC([CAT H] 1CCCNC1)N1CCCCC1                                                                                                                                             1    
205 SMILES CODE NC(N)C1 CSCC1                                                                                                                                                           1    
203 SMILES CODE CSC1 NNC(N)C1S(O)(O)CCC                                                                                                                                                 1    
5'-UACC                                                                                                                                                                                 1    
201 SMILES CODE CC1C(CCO) SCN1                                                                                                                                                          1    
200 SMILES CODE OC1NC2 CCCCC2NC1\CC\C1CCCS1                                                                                                                                             1    
199 SMILES CODE OC1NC(O) C2(CCCCC2)N1                                                                                                                                                   1    
DIOXANE,-BACTCH                                                                                                                                                                         1    
ARACHIDONATE                                                                                                                                                                            1    
223 SMILES CODE OC(COCC( O)N1CCCC1)NC1CCCCC1                                                                                                                                            1    
221 SMILES CODE CCN1C(O) N\C(C/C2CCC(CL)S2)C1O                                                                                                                                          1    
CM7                                                                                                                                                                                     1    
219 SMILES CODE CC1CC C(O)N(CCC2CCC(CL)CC2)[CAT H]1O                                                                                                                                    1    
ZINC FRUCTOSE 6-PHOSPHATE .,-BACTCH                                                                                                                                                     1    
DL-XYLITOL                                                                                                                                                                              1    
216 SMILES CODE NC(N)C1 CCC(CC1)C(F)(F)F                                                                                                                                                1    
215 SMILES CODE CCC1CC CCNC1NC(O)C1CCNNS1                                                                                                                                               1    
214 SMILES CODE CCCC C(O)N1CCC[CAT H](O)O                                                                                                                                               1    
PEG 4000,0.1MTRIS CHLORIDE MLICL                                                                                                                                                        1    
TRISODIUM CITRATE DIHYTRATE                                                                                                                                                             1    
TRIS SODIUM DITHIONITE                                                                                                                                                                  1    
NANO2 20                                                                                                                                                                                1    
ATP AMP-PNP                                                                                                                                                                             1    
SODIUM AZIDE 26                                                                                                                                                                         1    
GGSPP                                                                                                                                                                                   1    
SF2312                                                                                                                                                                                  1    
URIDINE 5' PHOSPHATE UMP                                                                                                                                                                1    
SPONTANEOUSLY                                                                                                                                                                           1    
